m_ArraySize;workgroup;time
2;1000;0.00748373
2;1001;0.00683894
2;1002;0.00683397
2;1003;0.00677542
2;1004;0.00825403
2;1005;0.00823834
2;1006;0.00709074
2;1007;0.0068179
2;1008;0.00681484
2;1009;0.0068818
2;1010;0.00756562
2;1011;0.0080803
2;1012;0.0069679
2;1013;0.00679915
2;1014;0.00687951
2;1015;0.00820773
2;1016;0.00689558
2;1017;0.00712977
2;1018;0.00680565
2;1019;0.00805734
2;1020;0.00684583
2;1021;0.0068753
2;1022;0.00746766
2;1023;0.00859192
4;1000;0.00687262
4;1001;0.00689481
4;1002;0.00694341
4;1003;0.00807724
4;1004;0.00815071
4;1005;0.00812316
4;1006;0.00684507
4;1007;0.00689558
4;1008;0.00683167
4;1009;0.00676777
4;1010;0.00682211
4;1011;0.00826053
4;1012;0.0068244
4;1013;0.00695336
4;1014;0.00809829
4;1015;0.00831219
4;1016;0.00696216
4;1017;0.00692925
4;1018;0.00715426
4;1019;0.00681177
4;1020;0.00742863
4;1021;0.00694188
4;1022;0.00688716
4;1023;0.00687759
8;1000;0.00830799
8;1001;0.00827431
8;1002;0.00680948
8;1003;0.00684086
8;1004;0.0072063
8;1005;0.00812431
8;1006;0.00831832
8;1007;0.00835811
8;1008;0.00688027
8;1009;0.00686152
8;1010;0.00685234
8;1011;0.00686803
8;1012;0.0068707
8;1013;0.0068665
8;1014;0.00681407
8;1015;0.00698397
8;1016;0.0068443
8;1017;0.00736051
8;1018;0.00684162
8;1019;0.00683741
8;1020;0.00819587
8;1021;0.00690017
8;1022;0.00687912
8;1023;0.00683971
16;1000;0.00699354
16;1001;0.00700425
16;1002;0.00753998
16;1003;0.00760618
16;1004;0.00763029
16;1005;0.00692428
16;1006;0.00834051
16;1007;0.00688257
16;1008;0.006873
16;1009;0.00812928
16;1010;0.00826245
16;1011;0.00736549
16;1012;0.006767
16;1013;0.00693844
16;1014;0.00683244
16;1015;0.00686994
16;1016;0.00685502
16;1017;0.00714814
16;1018;0.00682861
16;1019;0.00807877
16;1020;0.00755644
16;1021;0.00683856
16;1022;0.00709724
16;1023;0.00690132
32;1000;0.00690706
32;1001;0.0068355
32;1002;0.00724418
32;1003;0.00692198
32;1004;0.00754381
32;1005;0.0068267
32;1006;0.00684775
32;1007;0.00695757
32;1008;0.00697402
32;1009;0.00711561
